,host_id,room_type,year,count
647,357027,Entire home/apt,2013,
648,357468,Entire home/apt,2013,
649,357791,Entire home/apt,2013,
650,359035,Entire home/apt,2013,
651,359174,Entire home/apt,2013,
652,359729,Entire home/apt,2013,
653,359784,Entire home/apt,2013,
654,363403,Entire home/apt,2013,
655,363883,Entire home/apt,2013,
656,363896,Entire home/apt,2013,
657,364250,Entire home/apt,2013,
658,364983,Entire home/apt,2013,1.0
659,365461,Entire home/apt,2013,
660,366685,Entire home/apt,2013,
661,367157,Entire home/apt,2013,
662,368770,Entire home/apt,2013,
663,369270,Entire home/apt,2013,
664,370518,Entire home/apt,2013,
665,370581,Entire home/apt,2013,
666,373016,Entire home/apt,2013,
667,373177,Entire home/apt,2013,
668,373220,Entire home/apt,2013,
669,373342,Entire home/apt,2013,
670,373635,Entire home/apt,2013,
671,373689,Entire home/apt,2013,
672,374832,Entire home/apt,2013,
673,374909,Entire home/apt,2013,
674,375032,Entire home/apt,2013,
675,375067,Entire home/apt,2013,
676,375101,Entire home/apt,2013,
677,376540,Entire home/apt,2013,
678,377070,Entire home/apt,2013,
679,377579,Entire home/apt,2013,
680,377744,Entire home/apt,2013,
681,378422,Entire home/apt,2013,
682,380056,Entire home/apt,2013,
683,380108,Entire home/apt,2013,
684,380290,Entire home/apt,2013,
685,381834,Entire home/apt,2013,
686,382289,Entire home/apt,2013,
687,382474,Entire home/apt,2013,
688,382712,Entire home/apt,2013,
689,382971,Entire home/apt,2013,
690,383029,Entire home/apt,2013,
691,383592,Entire home/apt,2013,
692,384103,Entire home/apt,2013,
693,384389,Entire home/apt,2013,
694,384619,Entire home/apt,2013,
695,384824,Entire home/apt,2013,1.0
696,386774,Entire home/apt,2013,
697,387981,Entire home/apt,2013,
698,388039,Entire home/apt,2013,
699,388693,Entire home/apt,2013,
700,389384,Entire home/apt,2013,1.0
701,393033,Entire home/apt,2013,
702,394225,Entire home/apt,2013,
703,395103,Entire home/apt,2013,
704,395569,Entire home/apt,2013,
705,396372,Entire home/apt,2013,
706,396949,Entire home/apt,2013,
707,397255,Entire home/apt,2013,
708,397316,Entire home/apt,2013,
709,398633,Entire home/apt,2013,
710,398634,Entire home/apt,2013,
