room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
17647870,1188,25272278,Shared room,,San Francisco,,South of Market,0,0.0,1,1.0,,60.0,,2017-05-05 16:55:13.663295,37.777734,-122.410366,0101000020E6100000FB58C16F439A5EC05F7EA7C98CE34240
10888070,1188,28976328,Shared room,,San Francisco,,Downtown/Civic Center,4,5.0,1,1.0,,60.0,,2017-05-05 16:55:13.656171,37.779587,-122.421343,0101000020E61000008159A148F79A5EC081B1BE81C9E34240
13636171,1188,33663709,Shared room,,San Francisco,,Financial District,0,0.0,2,1.0,,41.0,,2017-05-05 16:55:12.758482,37.792234,-122.393991,0101000020E6100000C6FA062637995EC0BF6378EC67E54240
10157431,1188,18587332,Shared room,,San Francisco,,Downtown/Civic Center,47,4.5,1,1.0,,60.0,,2017-05-05 16:55:12.733543,37.781645,-122.412782,0101000020E6100000299831056B9A5EC07C0A80F10CE44240
10070760,1188,51673718,Shared room,,San Francisco,,Visitacion Valley,28,4.5,1,1.0,,45.0,,2017-05-05 16:55:12.727608,37.713184,-122.412082,0101000020E61000004C512E8D5F9A5EC0E603029D49DB4240
8763529,1188,23278,Shared room,,San Francisco,,Mission,62,5.0,1,1.0,,49.0,,2017-05-05 16:55:12.719508,37.757893,-122.41317,0101000020E61000000D6C9560719A5EC0056F48A302E14240
17478285,1188,40297300,Shared room,,San Francisco,,Bayview,9,5.0,2,1.0,,45.0,,2017-05-05 16:55:12.716564,37.727202,-122.3717,0101000020E610000016FBCBEEC9975EC0FBCA83F414DD4240
11373583,1188,12800886,Shared room,,San Francisco,,South of Market,0,0.0,1,1.0,,53.0,,2017-05-05 16:55:12.713844,37.771573,-122.389804,0101000020E610000066F6798CF2985EC001BD70E7C2E24240
14011529,1188,61907533,Shared room,,San Francisco,,Mission,1,0.0,2,1.0,,50.0,,2017-05-05 16:55:12.696168,37.760662,-122.420827,0101000020E610000086915ED4EE9A5EC0ADA7565F5DE14240
17445523,1188,38502219,Shared room,,San Francisco,,Mission,2,0.0,2,1.0,,48.0,,2017-05-05 16:55:12.673906,37.755315,-122.417152,0101000020E6100000815D4D9EB29A5EC0D1967329AEE04240
15469292,1188,26667361,Shared room,,San Francisco,,South of Market,23,4.5,1,1.0,,45.0,,2017-05-05 16:55:12.670581,37.780702,-122.406677,0101000020E610000044C2F7FE069A5EC0FDF50A0BEEE34240
17846929,1188,21697127,Shared room,,San Francisco,,South of Market,0,0.0,4,1.0,,55.0,,2017-05-05 16:55:12.661606,37.772884,-122.392331,0101000020E61000003F8D7BF31B995EC003CDE7DCEDE24240
18428913,1188,28163432,Shared room,,San Francisco,,Castro/Upper Market,0,0.0,1,1.0,,50.0,,2017-05-05 16:55:11.525569,37.764328,-122.434045,0101000020E610000082FFAD64C79B5EC063B5F97FD5E14240
13342697,1188,11078389,Shared room,,San Francisco,,South of Market,0,0.0,1,1.0,,50.0,,2017-05-05 16:55:11.518809,37.780189,-122.405091,0101000020E6100000DA39CD02ED995EC077D9AF3BDDE34240
70753,1188,329072,Shared room,,San Francisco,,Financial District,216,4.5,4,1.0,,45.0,,2017-05-05 16:55:11.514839,37.79447,-122.404505,0101000020E61000006284F068E3995EC099D36531B1E54240
8763366,1188,23278,Shared room,,San Francisco,,Mission,70,5.0,1,1.0,,49.0,,2017-05-05 16:55:11.512171,37.758301,-122.4128,0101000020E61000007CF2B0506B9A5EC016C3D50110E14240
17543814,1188,36997746,Shared room,,San Francisco,,Outer Sunset,10,4.0,1,1.0,,50.0,,2017-05-05 16:55:11.506771,37.749887,-122.477679,0101000020E61000001ABFF04A929E5EC00859164CFCDF4240
6822747,1188,2711732,Shared room,,San Francisco,,Castro/Upper Market,65,5.0,2,1.0,,55.0,,2017-05-05 16:55:11.503802,37.768191,-122.439228,0101000020E610000033DFC14F1C9C5EC0700A2B1554E24240
18567322,1188,128905277,Shared room,,San Francisco,,South of Market,0,0.0,1,1.0,,50.0,,2017-05-05 16:55:11.501407,37.777029,-122.41555,0101000020E610000094F6065F989A5EC09485AFAF75E34240
15918674,1188,26667361,Shared room,,San Francisco,,South of Market,31,4.0,1,1.0,,45.0,,2017-05-05 16:55:11.492817,37.779416,-122.408511,0101000020E61000009A43520B259A5EC054FD4AE7C3E34240
5196399,1188,23278,Shared room,,San Francisco,,Mission,118,5.0,1,1.0,,49.0,,2017-05-05 16:55:11.475170,37.756869,-122.414603,0101000020E6100000B47405DB889A5EC0992D5915E1E04240
15009918,1188,5215966,Shared room,,San Francisco,,Outer Sunset,6,5.0,1,1.0,,45.0,,2017-05-05 16:55:11.470571,37.754143,-122.493243,0101000020E6100000C87E164B919F5EC0F0C000C287E04240
15422181,1188,21430100,Shared room,,San Francisco,,Inner Sunset,51,4.5,1,1.0,,50.0,,2017-05-05 16:55:11.465438,37.763636,-122.458262,0101000020E6100000F9BF232A549D5EC02D060FD3BEE14240
